"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas"
"World",2020-03-21,281829,338242,394655,18492,305117,14599
"World",2020-03-22,308113,369788,431463,20217,338133,16363
"World",2020-03-23,336850,404277,471704,22103,377918,18563
"World",2020-03-24,368266,441982,515698,24164,416845,20989
"World",2020-03-25,402613,483204,563795,26418,468049,23670
"World",2020-03-26,440163,528270,616377,28882,527767,26988
"World",2020-03-27,481216,577540,673864,31575,591704,30449
"World",2020-03-28,526097,631405,736713,34520,656866,33574
"World",2020-03-29,575163,690293,805423,37740,715353,37271
"World",2020-03-30,628806,754674,880542,41260,777796,41885
"World",2020-03-31,687452,825059,962666,45108,851308,46883
"World",2020-04-01,751568,902009,1052450,49315,928436,51514
"World",2020-04-02,821664,986136,1150608,53914,1000249,58141
"World",2020-04-03,898297,1078108,1257919,58942,1082054,64400
"World",2020-04-04,982077,1178659,1375241,64440,1174652,69304
"World",2020-04-05,1073672,1288588,1503504,70450,1267631,69304
"World",2020-04-06,1173809,1408769,1643729,77020,NA,NA
"World",2020-04-07,1283285,1540159,1797033,84204,NA,NA
"World",2020-04-08,1402971,1683803,1964635,92057,NA,NA
"World",2020-04-09,1533821,1840844,2147867,100643,NA,NA
"World",2020-04-10,1676874,2012532,2348190,110029,NA,NA
"World",2020-04-11,1833269,2200233,2567197,120291,NA,NA
"World",2020-04-12,2004250,2405439,2806628,131510,NA,NA
