location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Lithuania;2020-05-16;total_cases;43;2020-04-06;843;2020-05-16;1534;1.82
Luxembourg;2020-05-16;total_cases;49;2020-03-31;2178;2020-05-16;3930;1.8
Macedonia;2020-05-16;total_cases;34;2020-04-15;974;2020-05-16;1762;1.81
Madagascar;2020-05-16;total_cases;15;2020-05-04;149;2020-05-16;283;1.9
Malawi;2020-05-16;total_cases;20;2020-04-29;36;2020-05-16;65;1.81
Malaysia;2020-05-16;total_cases;43;2020-04-06;3793;2020-05-16;6872;1.81
Maldives;2020-05-16;total_cases;14;2020-05-05;573;2020-05-16;1078;1.88
Mali;2020-05-16;total_cases;21;2020-04-28;424;2020-05-16;835;1.97
Malta;2020-05-16;total_cases;42;2020-04-07;298;2020-05-16;546;1.83
Mauritania;2020-05-16;total_cases;5;2020-05-14;16;2020-05-16;29;1.81
Mauritius;2020-05-16;total_cases;47;2020-04-02;169;2020-05-16;332;1.96
Mexico;2020-05-16;total_cases;14;2020-05-05;26025;2020-05-16;47144;1.81
